Record_ID,Company_Name,Address1,Address2,City,state,zip_code,zip4,phone_number,naics_code,duns_number,Address_Update_Date,Phone_Update_Date,Update_Date
REC000080,Stellar Systems,6239 Cedar Ln,,Portland,OR,97201,3094,392-490-6368,423430,96-756-2821,2023-02-12,,2024-11-09
REC000081,Mountain View Tech,445 Corporate Way,,Seattle,WA,98101,,,238210,28-504-1221,,,
REC000082,Alpha Innovations #18,6401 Business Center Dr,,Seattle,WA,98101,,,423430,96-824-1037,2024-08-19,,2020-04-07
REC000083,Apex Manufacturing #73,Test Address 123,,,,,,656-904-6352,541511,36-632-4842,2023-06-02,2023-07-02,2021-12-18
REC000084,Summit Enterprises,1843 Elm Blvd,Ste 500,Philadelphia,PA,19101,9927,941-253-9099,,70-743-9295,2022-08-16,2024-11-15,2023-07-31
REC000085,Gamma Holdings #18,5553 Maple Dr,,Phoenix,AZ,85001,,287-384-6375,423430,,2020-10-28,2020-02-17,
REC000086,Quantum Dynamics,6448 Business Center Dr,,Dallas,TX,75201,,555-555-5555,,93-145-6632,,2022-09-26,2020-09-10
REC000087,Pacific Trading Co,,,,,,,284-990-7879,334118,,,,2021-08-22
REC000088,Apex Manufacturing,,,,,,,612-426-8085,,,,,2020-11-26
REC000089,Alpha Innovations,7696 Tech Park Blvd,,Charlotte,NC,28201,9436,901-644-5653,,46-918-1090,2020-03-23,,2021-09-28
REC000090,Acme Corporation,1253 Business Center Dr,Floor 12,Chicago,IL,60601,,,,31-831-8120,2024-02-01,,
REC000091,Fusion Technologies,5468 Commerce Dr,Floor 12,Phoenix,AZ,85001,,804-643-5349,238210,70-877-6643,,2020-01-06,2023-06-24
REC000092,Summit Enterprises,7029 Pine Rd,,Chicago,IL,60601,6085,819-467-3028,541613,18-649-7419,2023-12-15,2022-10-27,2020-12-21
REC000093,Quantum Dynamics,4396 Main St,,Chicago,IL,60601,4963,619-465-3407,236220,44-211-3784,2023-03-23,,2020-10-02
REC000094,Delta Services,,,,,,,276-955-2521,238210,94-610-3080,,2024-05-12,2021-03-17
REC000095,Midwest Manufacturing,3633 Business Center Dr,Floor 3,Boston,MA,02101,,929-169-1754,,,2021-09-25,,2020-10-15
REC000096,Zeta Enterprises #48,,,,,,,684-887-9250,423440,40-458-6878,,,2024-04-09
REC000097,Sigma Corp #65,3510 Cedar Ln,Ste 500,Portland,OR,97201,5897,209-492-7350,,,2023-06-12,2020-08-26,2024-05-24
REC000098,Vertex Partners,,,,,,,701-504-8284,334111,,,2023-04-07,2022-02-15
REC000099,Quantum Dynamics #86,428 Cedar Ln,,Fort Worth,TX,76101,,446-141-7918,423440,21-914-1119,,2024-11-24,2024-04-06
REC000100,Alpha Innovations #1,000 Nowhere Blvd,,,,,,672-186-6858,517311,46-203-8422,2021-10-31,2023-05-04,2024-02-21
REC000101,Eastern Distributors,2281 Corporate Way,,Dallas,TX,75201,,654-837-4419,238210,36-708-4811,2020-05-22,2024-11-01,2020-07-07
REC000102,Coastal Services,3820 Maple Dr,Suite 200,Philadelphia,PA,19101,,533-614-3101,541519,67-124-5435,2024-11-18,2024-10-10,2020-11-21
REC000103,Summit Enterprises,886 Pine Rd,Room 205,New York,NY,10001,7305,653-970-5360,541611,,2021-08-31,2022-07-29,2020-11-27
REC000104,Horizon Ventures #50,,,,,,,INVALID,,78-677-8399,,2024-09-06,2020-12-04
REC000105,Pioneer Holdings,6181 Main St,,Charlotte,NC,28201,,658-822-6464,541330,,2021-01-22,2022-04-01,2023-12-23
REC000106,Vertex Partners #83,,,,,,,855-316-3664,,52-610-8148,,2021-01-27,2023-09-10
REC000107,Summit Enterprises,1654 Business Center Dr,,Fort Worth,TX,76101,8925,265-571-3055,238210,60-540-2804,,,2022-05-05
REC000108,Coastal Services,N/A,,,,,,,541330,70-367-3984,2020-02-16,,
REC000109,Eastern Distributors #38,9552 Oak Ave,,Houston,TX,77001,,,518210,,,,2021-09-03
REC000110,Horizon Ventures,,,,,,,708-398-9727,,,,,2021-09-14
REC000111,Pacific Trading Co,8045 Maple Dr,,Philadelphia,PA,19101,4935,287-334-6418,,,,2022-03-27,2024-06-30
REC000112,Horizon Ventures,5022 Main St,Unit A,San Jose,CA,95101,6009,970-963-8652,541330,88-326-3678,2020-07-01,2023-04-26,2024-10-05
REC000113,Alpha Innovations #63,6180 Tech Park Blvd,,Chicago,IL,60601,,503-318-7141,236220,20-758-9903,,2023-11-16,2022-04-25
REC000114,Pacific Trading Co,2631 Business Center Dr,,Austin,TX,78701,,,,76-809-5395,,,2022-09-20
REC000115,Summit Enterprises #6,8326 Business Center Dr,,Portland,OR,97201,,123-456-7890,541511,49-559-9649,2022-11-04,,2022-10-20
REC000116,Theta Group #2,8049 Corporate Way,,Phoenix,AZ,85001,,933-381-2366,,,,2022-05-06,2023-03-31
REC000117,Midwest Manufacturing,8800 Industrial Pkwy,,Atlanta,GA,30301,8901,,423440,10-482-2191,2022-03-12,,
REC000118,Alpha Innovations,,,,,,,222-760-1658,,,,2024-08-26,2020-11-02
REC000119,Sigma Corp,3984 Cedar Ln,,Boston,MA,02101,6484,904-365-1106,541519,80-474-3159,2022-08-09,2021-12-15,2024-07-13
REC000120,Summit Enterprises #21,,,,,,,821-374-2151,541613,93-727-8486,,,2020-06-19
REC000121,Pacific Trading Co #57,6728 Cedar Ln,,Houston,TX,77001,,274-100-4947,,55-675-7381,2023-03-22,2021-12-26,2024-04-26
REC000122,Nexus Solutions #95,4765 Pine Rd,,Dallas,TX,75201,8678,,236220,,2023-11-29,,2023-01-29
REC000123,Nexus Solutions,,,,,,,809-427-9043,,,,2023-02-14,2024-12-22
REC000124,Nexus Solutions,000 Nowhere Blvd,,,,,,777-744-8394,541519,59-856-1948,2020-04-15,2024-07-06,2020-10-16
REC000125,Apex Manufacturing,8993 Industrial Pkwy,,Denver,CO,80201,2686,356-940-6118,236220,72-534-3048,2024-12-13,2020-12-26,2024-06-12
REC000126,Tech Solutions Inc,3133 Corporate Way,,Austin,TX,78701,,590-246-3561,518210,,,2020-01-08,2023-01-22
REC000127,Nexus Solutions #80,6296 Cedar Ln,,Charlotte,NC,28201,6666,432-404-4787,,73-173-1874,2022-03-08,2024-05-05,2021-04-15
REC000128,Stellar Systems #56,8262 Oak Ave,,Phoenix,AZ,85001,,,423440,,2020-05-16,,2021-11-16
REC000129,Southern Logistics #19,3093 Pine Rd,,Houston,TX,77001,,844-762-2415,,97-297-1070,2024-04-22,,2022-04-29
REC000130,Tech Solutions Inc,6086 Tech Park Blvd,,Seattle,WA,98101,,777-890-2699,541330,48-877-5133,2021-04-25,,2021-06-22
REC000131,Eastern Distributors,470 Pine Rd,,Phoenix,AZ,85001,4298,915-600-6598,,,,2024-12-17,2023-06-04
REC000132,Beta Technologies #23,,,,,,,422-715-3047,541511,99-759-2749,,2020-06-03,2023-05-27
REC000133,Omega Systems,,,,,,,735-548-2113,,29-267-5823,,,2024-05-19
REC000134,Vertex Partners,4394 Maple Dr,,Seattle,WA,98101,9252,340-256-6601,541512,,2023-11-10,2021-03-28,2020-07-04
REC000135,Eastern Distributors,1276 Main St,,Dallas,TX,75201,8932,903-502-7805,541613,61-152-1091,,,2021-01-05
REC000136,Horizon Ventures,605 Corporate Way,,Seattle,WA,98101,3067,947-211-7184,541511,,2024-06-20,2024-11-26,2024-08-08
REC000137,Horizon Ventures,,,,,,,328-905-1182,517311,42-942-2332,,2020-12-27,2024-10-13
REC000138,Northern Supply Co,6484 Tech Park Blvd,Office 101,Chicago,IL,60601,,589-263-6743,517311,11-341-2350,2022-12-24,2023-11-06,2024-01-26
REC000139,Omega Systems,PO Box 0000,,,,,,,423430,88-435-9361,2022-09-15,,2022-11-10
REC000140,Zeta Enterprises,,,,,,,618-493-7910,423430,,,,2022-06-24
REC000141,Acme Corporation #5,2851 Pine Rd,,Phoenix,AZ,85001,8511,635-478-1824,517311,,,2024-06-25,
REC000142,Omega Systems,6853 Maple Dr,,Seattle,WA,98101,3055,951-366-6650,,65-532-5061,2022-12-17,2020-01-28,2023-08-17
REC000143,Summit Enterprises,995 Oak Ave,,Seattle,WA,98101,,,,98-756-5395,2023-07-08,,2024-12-08
REC000144,Epsilon LLC,4287 Maple Dr,Floor 12,Phoenix,AZ,85001,,,541519,89-460-4564,2021-10-13,,2022-03-21
REC000145,Mountain View Tech #65,6036 Corporate Way,Office 101,San Antonio,TX,78201,8007,,,,2022-01-03,,2021-06-12
REC000146,Mountain View Tech,6904 Oak Ave,,San Diego,CA,92101,,,541511,,,,2020-10-01
REC000147,Theta Group,4973 Maple Dr,,Boston,MA,02101,,429-522-4707,423430,,2022-05-21,2020-05-05,2024-12-20
REC000148,Fusion Technologies,6899 Commerce Dr,,Houston,TX,77001,,123456,541519,,2024-08-21,2023-08-13,2022-09-03
REC000149,Coastal Services,5325 Industrial Pkwy,,Charlotte,NC,28201,1455,478-159-1809,334118,13-518-1986,2022-01-25,2022-07-17,2024-12-14
REC000150,Acme Corporation,8934 Cedar Ln,,Seattle,WA,98101,,589-930-1361,,32-300-9871,,,2024-09-23
REC000151,Horizon Ventures,5832 Oak Ave,,Seattle,WA,98101,9298,844-401-7625,541613,99-403-1358,2021-07-08,2023-08-02,2024-02-24
REC000152,Gamma Holdings,,,,,,,450-665-9121,,45-579-2694,,,2023-02-27
REC000153,Epsilon LLC,,,,,,,819-924-6215,541512,,,2022-10-01,2020-06-09
REC000154,Southern Logistics,9114 Industrial Pkwy,,Portland,OR,97201,,,238210,,,,2023-11-02
REC000155,Prime Services Co,5267 Cedar Ln,,San Diego,CA,92101,,720-854-1471,423440,58-547-9853,2022-08-05,2020-10-25,2024-02-27
REC000156,Catalyst Corp,6906 Maple Dr,,Jacksonville,FL,32201,,555-555-5555,541330,42-337-9487,2024-06-10,2021-06-14,2020-02-23
REC000157,Global Industries LLC,,,,,,,484-865-8184,236220,62-706-7745,,2023-04-10,
REC000158,Fusion Technologies,,,,,,,815-863-8726,541519,96-118-7694,,2022-07-17,2021-07-25
REC000159,Mountain View Tech #30,,,,,,,000-000-0000,541511,,,,2024-02-18
REC000160,Prime Services Co,,,,,,,722-985-7435,,80-734-5900,,,2020-11-01
REC000161,Pacific Trading Co,3638 Business Center Dr,,Columbus,OH,43201,6685,618-326-9145,541611,29-227-8417,2020-05-01,,2024-02-12
REC000162,Nexus Solutions,1777 Commerce Dr,,San Diego,CA,92101,5165,824-874-6575,541512,57-252-7454,,2020-02-16,2022-08-29
REC000163,Pinnacle Industries #58,998 Business Center Dr,Floor 3,Portland,OR,97201,1448,446-903-1761,541611,,2021-02-22,,2023-11-23
REC000164,Nexus Solutions,6105 Business Center Dr,,Phoenix,AZ,85001,,877-990-8009,541511,58-931-9054,,2024-12-07,
REC000165,Delta Services #6,5975 Pine Rd,,Phoenix,AZ,85001,5941,637-888-2973,,35-828-4926,2021-06-28,2022-11-06,2023-07-23
REC000166,Midwest Manufacturing,6521 Elm Blvd,,Austin,TX,78701,3598,434-399-5092,,73-977-4779,2020-05-19,,2024-10-02
REC000167,Southern Logistics,320 Industrial Pkwy,,Denver,CO,80201,,326-248-7126,,77-393-7968,2024-02-15,2021-05-07,2021-10-05
REC000168,Sigma Corp,3154 Oak Ave,,Chicago,IL,60601,9885,,,,2023-10-02,,2023-02-10
REC000169,Gamma Holdings,,,,,,,472-881-2279,,36-624-3086,,,2022-09-14
REC000170,Global Industries LLC,6335 Industrial Pkwy,,Boston,MA,02101,,619-615-8368,,,2024-06-06,,
REC000171,Coastal Services,728 Main St,,Los Angeles,CA,90001,,249-990-4170,518210,,,,2023-05-09
REC000172,Beta Technologies #78,829 Corporate Way,,San Diego,CA,92101,6017,290-228-6386,423440,50-482-6451,2021-05-01,2021-12-06,
REC000173,Zeta Enterprises #22,5778 Cedar Ln,,San Antonio,TX,78201,,,,16-865-7727,2023-02-05,,2022-04-14
REC000174,Theta Group #26,335 Main St,,San Diego,CA,92101,9712,,334111,39-811-3791,2023-04-12,,2024-02-05
REC000175,Sigma Corp,,,,,,,699-386-4593,236220,76-982-9731,,2022-12-17,2024-01-20
REC000176,Eastern Distributors,,,,,,,307-271-9041,,,,2021-11-19,2023-01-24
REC000177,Apex Manufacturing #9,3234 Business Center Dr,Office 101,San Diego,CA,92101,5217,,423440,,2022-11-25,,2020-06-08
REC000178,Nexus Solutions #19,6384 Tech Park Blvd,Floor 12,Boston,MA,02101,6887,635-927-4648,517311,,2024-12-29,,2021-04-22
REC000179,Fusion Technologies #23,,,,,,,593-707-8646,541611,38-678-1155,,2023-02-16,
REC000180,Vertex Partners,,,,,,,615-146-8320,517311,63-267-7022,,2021-06-12,2020-06-20
REC000181,Acme Corporation #50,,,,,,,511-640-1754,541512,,,2021-03-11,2022-06-28
REC000182,Northern Supply Co,,,,,,,861-755-1048,,,,2023-03-21,
REC000183,Quantum Dynamics #41,,,,,,,344-397-4670,423430,30-141-6813,,,2024-11-14
REC000184,Coastal Services #90,8718 Industrial Pkwy,Bldg B,Houston,TX,77001,4831,723-526-6493,,37-362-9829,2021-10-09,2023-12-19,2022-08-20
REC000185,Coastal Services,9229 Pine Rd,Floor 12,San Antonio,TX,78201,,639-528-4338,334111,,2022-02-22,2021-07-31,2023-06-07
REC000186,Global Industries LLC,,,,,,,436-448-3577,,74-225-6054,,,2021-02-11
REC000187,Quantum Dynamics #47,,,,,,,691-411-7908,,,,2024-11-12,
REC000188,Delta Services,2023 Maple Dr,,Columbus,OH,43201,9680,760-588-3433,541512,,2023-06-10,2022-09-14,2023-01-10
REC000189,Nexus Solutions #55,,,,,,,962-897-8290,541512,99-467-9181,,,2024-03-19
REC000190,Acme Corporation,8843 Industrial Pkwy,,Portland,OR,97201,3798,,541511,,2020-05-02,,
REC000191,Delta Services,XXXX Unknown Ave,,,,,,,,24-926-3825,,,2023-01-31
REC000192,Northern Supply Co,,,,,,,901-634-5239,334118,59-468-8207,,,
REC000193,Midwest Manufacturing,3599 Elm Blvd,Office 101,Denver,CO,80201,,280-476-3233,,10-293-1643,2021-12-03,2021-10-31,
REC000194,Beta Technologies,4215 Corporate Way,,Houston,TX,77001,,720-865-1101,541512,53-770-3716,2020-07-29,,2020-11-20
REC000195,Northern Supply Co,6085 Elm Blvd,,Columbus,OH,43201,4295,825-292-7407,334118,51-407-7285,2021-10-03,2021-10-16,2022-10-24
REC000196,Midwest Manufacturing,,,,,,,555-555-5555,,16-860-9442,,2022-03-16,
REC000197,Coastal Services #46,2984 Business Center Dr,Unit A,Fort Worth,TX,76101,2525,INVALID,423440,58-306-2847,,2024-02-08,2022-10-12
REC000198,Atlas Group,,,,,,,936-161-8029,334118,,,,2021-08-18
REC000199,Omega Systems,8435 Business Center Dr,,Seattle,WA,98101,7835,400-896-3459,,,2020-02-19,2020-11-23,
REC000200,Metro Business Solutions #74,8642 Commerce Dr,,Los Angeles,CA,90001,8044,,,,2020-04-25,,
REC000201,Quantum Dynamics,,,,,,,662-299-6664,,24-421-6059,,,2020-07-31
REC000202,Acme Corporation,,,,,,,481-118-9469,518210,,,2020-01-06,
REC000203,Global Industries LLC,,,,,,,000-000-0000,541611,22-484-6444,,2022-04-17,2023-02-06
REC000204,Eastern Distributors,,,,,,,INVALID,541613,50-623-7424,,,2022-06-08
REC000205,Omega Systems,,,,,,,742-873-4721,541511,66-828-8631,,,2020-12-19
REC000206,Pioneer Holdings,7404 Maple Dr,,San Diego,CA,92101,,500-332-1751,334111,36-789-6842,2024-10-22,,
REC000207,Beta Technologies,,,,,,,799-657-1318,238210,58-997-2680,,2020-01-05,2020-11-10
REC000208,Mountain View Tech,6930 Main St,,Dallas,TX,75201,,,,,2022-06-04,,2022-09-23
REC000209,Prime Services Co,752 Commerce Dr,,Austin,TX,78701,,,423440,,2021-10-15,,
REC000210,Fusion Technologies,,,,,,,888-724-2725,,94-377-3927,,,
REC000211,Gamma Holdings #60,2686 Business Center Dr,,San Jose,CA,95101,5912,306-409-9561,541511,,2022-11-09,,2020-10-11
REC000212,Metro Business Solutions #49,,,,,,,INVALID,541611,77-199-9147,,2022-02-14,2023-07-18
REC000213,Metro Business Solutions,3921 Main St,Floor 12,Miami,FL,33101,,,423440,72-924-1295,2023-02-04,,2021-09-15
REC000214,Pioneer Holdings,,,,,,,951-883-4442,541613,65-861-7567,,2020-11-23,2023-09-25
REC000215,Alpha Innovations #78,7673 Main St,,Columbus,OH,43201,7684,215-644-6843,541330,,2021-07-03,,2020-12-04
REC000216,Acme Corporation,999 Invalid Rd,,,,,,732-506-3125,541613,,,2024-04-12,2021-11-16
REC000217,Omega Systems,,,,,,,975-936-5945,423430,,,2020-02-01,2024-01-29
REC000218,Pinnacle Industries,3875 Business Center Dr,,Atlanta,GA,30301,,377-585-5170,541613,,,,2024-11-24
REC000219,Zeta Enterprises,7147 Oak Ave,,Austin,TX,78701,,520-162-4645,,72-503-4419,2023-04-11,2023-08-15,2020-01-08
REC000220,Metro Business Solutions,5874 Oak Ave,,Phoenix,AZ,85001,,748-510-6809,518210,,2024-04-22,,2023-01-22
REC000221,Delta Services #47,1304 Tech Park Blvd,,Seattle,WA,98101,,,423430,83-250-3596,,,2022-10-07
REC000222,Alpha Innovations #47,,,,,,,874-995-1390,,98-245-2185,,2021-09-29,2024-09-05
REC000223,Stellar Systems #72,7932 Oak Ave,,Portland,OR,97201,,,517311,,2022-11-02,,2022-08-02
REC000224,Horizon Ventures #20,848 Park Way,,Austin,TX,78701,3842,,541512,84-843-1599,2022-02-21,,
REC000225,Coastal Services,,,,,,,706-242-1141,518210,43-353-8403,,2022-03-29,2024-03-26
REC000226,Vertex Partners,7211 Oak Ave,,Charlotte,NC,28201,3822,826-145-3476,334111,81-753-5918,,,
REC000227,Coastal Services,2319 Corporate Way,Unit 5B,Columbus,OH,43201,,314-621-3218,541330,41-740-1606,2022-10-28,2024-11-30,2020-05-15
REC000228,Delta Services,,,,,,,345-139-9051,,,,2024-11-19,2021-10-31
REC000229,Stellar Systems,7541 Tech Park Blvd,Suite 200,Denver,CO,80201,,,,,2021-12-05,,2024-07-17
